subject_id,metric,mean_difference,fold0,fold1,fold2,fold3,fold4
sub-verse010,foreground_dice,-0.012046199999999984,-0.013774999999999982,-0.009597999999999995,-0.020307999999999993,-0.01836899999999997,0.001819000000000015
sub-verse011,foreground_dice,-0.0027871999999999455,0.005276000000000058,-0.005345999999999962,-0.006701999999999986,-0.004768999999999912,-0.002394999999999925
sub-verse013,foreground_dice,-0.004824599999999979,-0.004830000000000001,-0.0065429999999999655,-0.005023,-0.005244999999999944,-0.0024819999999999842
sub-verse016,foreground_dice,0.0015042,-0.0011459999999999804,0.004666999999999977,0.0021400000000000308,0.00035200000000001896,0.0015079999999999538
sub-verse018,foreground_dice,-0.005707399999999985,-0.0007729999999999126,-0.009790999999999994,-0.009133999999999975,-0.003986000000000045,-0.004852999999999996
sub-verse022,foreground_dice,0.00025759999999996896,0.0036959999999999216,0.0005730000000000457,0.00018799999999996597,-0.0019360000000000488,-0.0012330000000000396
sub-verse023,foreground_dice,-0.001345799999999997,-0.011263000000000023,0.004868999999999901,0.002742000000000022,-0.0011329999999999396,-0.0019439999999999458
sub-verse024,foreground_dice,0.00017460000000000254,-0.0007110000000000172,0.002047000000000021,0.0004669999999999952,-0.0008740000000000414,-5.599999999994498e-05
sub-verse026,foreground_dice,0.0006822000000000106,0.0010410000000000696,0.0006050000000000777,-0.00015299999999995872,-0.0009020000000000694,0.0028199999999999337
sub-verse030,foreground_dice,-0.03268739999999999,-0.016801999999999984,-0.03726499999999999,-0.038246,-0.03676400000000002,-0.034359999999999946
sub-verse041,foreground_dice,-0.0031066000000000036,-0.007541999999999938,-0.00195500000000004,-0.0013530000000000486,-0.0028169999999999584,-0.0018660000000000343
sub-verse047,foreground_dice,0.0006463999999999581,-0.0017660000000000453,0.0033719999999999306,0.0007030000000000092,0.0020899999999999253,-0.0011670000000000291
sub-verse058,foreground_dice,-0.010581799999999997,-0.004669000000000034,-0.0021530000000000715,-0.007716999999999974,-0.03049999999999997,-0.007869999999999933
sub-verse067,foreground_dice,-0.0012619999999999854,-0.0025959999999999317,-0.002850000000000019,-0.0012380000000000724,-0.004981999999999931,0.005356000000000027
sub-verse071,foreground_dice,-0.0006348000000000242,-0.0005450000000000177,0.0009080000000000199,0.004229999999999956,-0.0006200000000000649,-0.0071470000000000145
sub-verse073,foreground_dice,-0.00011619999999998854,-0.0022619999999999862,0.00029400000000001647,0.001523000000000052,-0.00035200000000001896,0.00021599999999999397
sub-verse078,foreground_dice,0.001949600000000018,0.008749000000000007,-0.002391000000000032,0.0021520000000000428,-0.004665999999999948,0.00590400000000002
sub-verse080,foreground_dice,-0.0006476000000000149,-0.00375100000000006,-0.0012579999999999814,0.0007049999999999557,0.0001060000000000505,0.0009599999999999609
sub-verse093,foreground_dice,-0.005037399999999992,-0.002521999999999913,0.0009839999999999849,0.0019129999999999425,-0.006085000000000007,-0.019476999999999967
sub-verse095,foreground_dice,-0.00027380000000001294,-0.0016300000000000203,-0.0009259999999999824,0.0023440000000000127,-0.002707000000000015,0.0015499999999999403
sub-verse116,foreground_dice,-0.0003499999999999837,-0.0010510000000000241,-0.00017799999999990046,1.799999999996249e-05,0.0005509999999999682,-0.0010899999999999244
sub-verse124,foreground_dice,-0.000309399999999993,-7.099999999993223e-05,0.0002289999999999237,0.0012940000000000174,-0.00038800000000005497,-0.002610999999999919
sub-verse125,foreground_dice,-0.0010488000000000498,-0.0045680000000000165,-0.002175000000000038,0.007120999999999933,-0.0025730000000000475,-0.0030490000000000794
sub-verse150,foreground_dice,-3.1399999999992544e-05,-0.0010499999999999954,0.003770999999999969,-0.0017859999999999543,0.0007370000000000987,-0.0018290000000000806
sub-verse153,foreground_dice,0.00017000000000002568,-0.00015399999999998748,-5.999999999950489e-06,-0.00143099999999996,0.002275000000000027,0.00016599999999999948
sub-verse205,foreground_dice,0.011224999999999995,-0.011468999999999951,0.003078999999999943,0.0019419999999999993,0.028119000000000005,0.034453999999999985
sub-verse221,foreground_dice,-7.540000000001434e-05,0.0008939999999999504,0.00394300000000003,-0.0026209999999999845,-0.00028600000000000847,-0.002307000000000059
sub-verse225,foreground_dice,-0.0015983999999999777,-0.0017879999999999008,0.0035959999999999326,0.006518000000000024,0.002251000000000003,-0.018568999999999947
sub-verse230,foreground_dice,0.009816200000000008,0.035287999999999986,0.0014779999999999793,-0.012116999999999933,0.02015699999999998,0.004275000000000029
sub-verse242,foreground_dice,0.004966799999999982,-0.026248999999999967,0.036937999999999915,0.008587000000000011,0.009565999999999963,-0.0040080000000000116
sub-verse252,foreground_dice,-0.0005437999999999832,-4.500000000007276e-05,-0.0017089999999999606,-3.199999999992098e-05,-0.0013619999999999743,0.0004290000000000127
sub-verse264,foreground_dice,-0.0002605999999999886,-0.0008559999999999679,-0.002793999999999963,-1.3000000000040757e-05,0.0020689999999999875,0.0002910000000000412
sub-verse269,foreground_dice,0.00016139999999995603,-0.0013110000000000621,0.0022719999999999407,0.0002849999999999797,-0.0007190000000000252,0.00027999999999994696
sub-verse276,foreground_dice,0.0006053999999999782,0.0005410000000000137,-0.0003389999999999782,0.0012159999999999949,0.0014139999999999153,0.00019499999999994522
sub-verse400,foreground_dice,-0.0009558999999999873,-0.00035249999999997783,-0.0017640000000000988,0.0010489999999999666,0.0005115000000001091,-0.004223499999999936
sub-verse404,foreground_dice,0.0010024000000000033,0.001999500000000043,0.009287500000000115,-0.002994000000000052,0.00418049999999992,-0.00746150000000001
sub-verse412,foreground_dice,-0.001343599999999956,0.006726000000000121,-4.099999999995774e-05,-0.019166499999999864,0.00833549999999994,-0.0025720000000000187
sub-verse010,identification_rate,0.0,0.0,0.0,0.0,0.0,0.0
sub-verse011,identification_rate,-0.05000020000000001,-0.08333299999999999,-0.08333400000000002,-0.166667,0.08333299999999999,0.0
sub-verse013,identification_rate,-0.0375,-0.0625,0.0,-0.125,-0.125,0.125
sub-verse016,identification_rate,0.0,0.0,0.0,0.0,0.0,0.0
sub-verse018,identification_rate,-0.025,0.0,0.0,-0.125,0.0,0.0
sub-verse022,identification_rate,0.08,0.4,0.0,0.0,0.0,0.0
sub-verse023,identification_rate,0.075,0.125,0.0,0.125,0.125,0.0
sub-verse024,identification_rate,-0.18000000000000002,-0.30000000000000004,-0.09999999999999998,0.0,-0.20000000000000007,-0.30000000000000004
sub-verse026,identification_rate,0.0,-0.09090900000000002,0.0,0.0,0.0,0.09090900000000002
sub-verse030,identification_rate,0.0,0.0,0.0,0.0,0.0,0.0
sub-verse041,identification_rate,-0.01111120000000001,0.0,0.0,0.0,0.0,-0.05555600000000005
sub-verse047,identification_rate,0.0,0.0,0.0,-0.05882399999999999,0.05882399999999999,0.0
sub-verse058,identification_rate,0.0,0.0,0.0,0.0,0.0,0.0
sub-verse067,identification_rate,0.020000000000000018,0.30000000000000004,0.0,0.0,0.0,-0.19999999999999996
sub-verse071,identification_rate,0.0,0.0,0.0,0.0,0.0,0.0
sub-verse073,identification_rate,0.0,0.0,0.0,0.0,0.0,0.0
sub-verse078,identification_rate,0.0,0.0,0.0,0.0,0.0,0.0
sub-verse080,identification_rate,0.0,0.0,0.0,0.0,0.0,0.0
sub-verse093,identification_rate,-0.04444440000000001,0.0,-0.11111100000000007,0.0,0.0,-0.11111099999999996
sub-verse095,identification_rate,-0.011764799999999997,0.0,0.0,-0.05882399999999999,0.0,0.0
sub-verse116,identification_rate,0.0,0.0,0.0,0.0,0.0,0.0
sub-verse124,identification_rate,0.0,0.0,0.0,0.0,0.0,0.0
sub-verse125,identification_rate,0.0,0.0,0.0,0.0,0.0,0.0
sub-verse150,identification_rate,-0.0333334,0.0,0.0,-0.166667,0.16666599999999998,-0.16666599999999998
sub-verse153,identification_rate,0.0,0.0,0.0,0.0,0.0,0.0
sub-verse205,identification_rate,0.0,0.0,0.0,0.0,0.0,0.0
sub-verse221,identification_rate,0.0,0.0,0.0,0.0,0.0,0.0
sub-verse225,identification_rate,-0.025,-0.125,0.0,0.0,0.125,-0.125
sub-verse230,identification_rate,0.0,0.0,0.0,0.0,0.0,0.0
sub-verse242,identification_rate,0.0,0.0,0.0,0.0,0.0,0.0
sub-verse252,identification_rate,0.0352938,0.11764700000000006,0.17646999999999996,-0.05882399999999999,0.117647,-0.17647100000000004
sub-verse264,identification_rate,-0.023529400000000013,0.0,-0.11764699999999995,0.0,-0.11764700000000006,0.11764699999999995
sub-verse269,identification_rate,0.0,-0.0625,0.0,0.125,0.0,-0.0625
sub-verse276,identification_rate,0.0,0.0,0.0,0.0,0.0,0.0
sub-verse400,identification_rate,0.0,0.0,0.0,0.0,0.0,0.0
sub-verse404,identification_rate,0.0,0.0,0.0,0.0,0.0,0.0
sub-verse412,identification_rate,0.02631579999999998,0.026316000000000006,0.05263149999999994,0.05263149999999994,0.026315499999999936,-0.026315499999999936
