comparison,cohort,metric,cases,subjects,folds_averaged_before_subject_inference,estimand,mean_difference,bootstrap_ci_low,bootstrap_ci_high,permutation_p,wilcoxon_p_secondary,positive,negative,zero,bootstrap_repetitions,permutation_repetitions,seed,favorable_direction_for_d175
D175_minus_D129,internal37,foreground_dice,40,37,5,subject_equal_paired_mean_difference,-0.0014706567567567546,-0.0038258230405405383,0.00041474628378378143,0.20034979965020036,0.0774078067188384,13,24,0,100000,1000000,20260715,higher
D175_minus_D129,internal37,identification_rate,40,37,5,subject_equal_paired_mean_difference,-0.005542535135135136,-0.0190147895945946,0.005811671486486483,0.43985156014843985,0.42643498438261274,5,10,22,100000,1000000,20260716,higher
