comparison,metric,analysis,n,mean_diff,sd_diff,median_diff,q1_diff,q3_diff,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_statistic,wilcoxon_p,paired_t_statistic,paired_t_p,bootstrap_repetitions,bootstrap_seed
D175_minus_D129,dice,fold_level,5,-0.0009344699999999983,0.0011645026838741062,-0.0010868750000000067,-0.001324099999999992,3.2824999999994665e-05,-0.0018183899999999966,-7.463999999999529e-05,3.0,0.22491588401596185,-1.7943612083251532,0.14720126459138133,100000,20260629
D175_minus_D129,dice,case_averaged,40,-0.0009344699999999986,0.00438405972272393,-0.00021730000000000916,-0.0011926499999999896,0.0005227500000000107,-0.002346240499999996,0.0003532656250000035,308.0,0.17037111380912562,-1.3480900316118365,0.1854077094669572,100000,20260629
D175_minus_D129,dice,two_way_case_fold_bootstrap,200,-0.0009344699999999983,0.008693728942388214,-0.0005270000000000552,-0.002119250000000017,0.0015300000000000313,-0.002966291750000003,0.0009847422499999973,,,,,100000,20260629
D175_minus_D129,id_rate,fold_level,5,0.001665664999999999,0.00940539508524562,0.000479549999999998,-0.0032589750000000016,0.006775925000000002,-0.005364755,0.009370629999999994,6.0,0.6858304344516057,0.3960003948781402,0.712319407097865,100000,20260629
D175_minus_D129,id_rate,case_averaged,40,0.001665664999999998,0.036195348300034284,0.0,-0.0029411999999999993,0.0,-0.008855605875000006,0.013383215124999992,237.0,0.5999749519605324,0.291048185261937,0.7725567717419235,100000,20260629
D175_minus_D129,id_rate,two_way_case_fold_bootstrap,200,0.0016656649999999985,0.07216513330617678,0.0,0.0,0.0,-0.012857470375,0.019653203124999994,,,,,100000,20260629
