fold,case_id,dice_D129,dice_D175,diff_dice_D175_minus_D129,id_rate_D129,id_rate_D175,diff_id_rate_D175_minus_D129
1,sub-verse150,0.858392,0.862163,0.003770999999999969,1.0,1.0,0.0
1,sub-verse153,0.973945,0.973939,-5.999999999950489e-06,1.0,1.0,0.0
1,sub-verse205,0.880584,0.883663,0.003078999999999943,1.0,1.0,0.0
1,sub-verse221,0.886103,0.890046,0.00394300000000003,1.0,1.0,0.0
1,sub-verse225,0.900718,0.904314,0.0035959999999999326,1.0,1.0,0.0
1,sub-verse230,0.920273,0.921751,0.0014779999999999793,1.0,1.0,0.0
1,sub-verse242,0.877828,0.914766,0.036937999999999915,1.0,1.0,0.0
1,sub-verse252,0.967996,0.966287,-0.0017089999999999606,0.411765,0.588235,0.17646999999999996
1,sub-verse264,0.959627,0.956833,-0.002793999999999963,1.0,0.882353,-0.11764699999999995
1,sub-verse269,0.955157,0.957429,0.0022719999999999407,0.875,0.875,0.0
1,sub-verse276,0.95318,0.952841,-0.0003389999999999782,1.0,1.0,0.0
1,sub-verse400_split-verse090,0.944034,0.938102,-0.005932000000000048,1.0,1.0,0.0
1,sub-verse400_split-verse155,0.951106,0.95351,0.0024039999999999617,1.0,1.0,0.0
1,sub-verse404_split-verse209,0.934743,0.953465,0.018722000000000016,1.0,1.0,0.0
1,sub-verse404_split-verse256,0.976926,0.976779,-0.00014700000000000824,1.0,1.0,0.0
1,sub-verse412_split-verse235,0.890832,0.88896,-0.0018719999999999848,1.0,1.0,0.0
1,sub-verse412_split-verse290,0.959475,0.961265,0.0017900000000000693,0.894737,1.0,0.105263
2,sub-verse010,0.91255,0.892242,-0.020307999999999993,1.0,1.0,0.0
2,sub-verse011,0.90809,0.901388,-0.006701999999999986,0.916667,0.75,-0.166667
2,sub-verse013,0.953781,0.948758,-0.005023,0.875,0.75,-0.125
2,sub-verse016,0.962294,0.964434,0.0021400000000000308,1.0,1.0,0.0
2,sub-verse018,0.907965,0.898831,-0.009133999999999975,1.0,0.875,-0.125
2,sub-verse022,0.877183,0.877371,0.00018799999999996597,1.0,1.0,0.0
2,sub-verse023,0.951838,0.95458,0.002742000000000022,0.5,0.625,0.125
2,sub-verse024,0.957669,0.958136,0.0004669999999999952,0.6,0.6,0.0
2,sub-verse026,0.955364,0.955211,-0.00015299999999995872,1.0,1.0,0.0
2,sub-verse030,0.956598,0.918352,-0.038246,1.0,1.0,0.0
