subject_id,fold,metric,model,value,cases_aggregated
sub-verse011,1,common_matched_assd_mm,d129,0.836624097255544,1
sub-verse011,1,common_matched_assd_mm,d175,1.0290738971391715,1
sub-verse011,1,common_matched_hd95_mm,d129,5.107692634372781,1
sub-verse011,1,common_matched_hd95_mm,d175,6.286574781250358,1
sub-verse011,1,complete_label_set_indicator,d129,0.0,1
sub-verse011,1,complete_label_set_indicator,d175,0.0,1
sub-verse011,1,foreground_dice,d129,0.91059,1
sub-verse011,1,foreground_dice,d175,0.905244,1
sub-verse011,1,identification_rate,d129,0.916667,1
sub-verse011,1,identification_rate,d175,0.833333,1
sub-verse011,1,label_set_jaccard,d129,0.8,1
sub-verse011,1,label_set_jaccard,d175,0.8,1
sub-verse011,1,macro_label_dice,d129,0.877165959708455,1
sub-verse011,1,macro_label_dice,d175,0.85121214527058,1
sub-verse011,1,missing_label_count,d129,0.0,1
sub-verse011,1,missing_label_count,d175,0.0,1
sub-verse011,2,common_matched_assd_mm,d129,0.7127451220559253,1
sub-verse011,2,common_matched_assd_mm,d175,2.318756227758859,1
sub-verse011,2,common_matched_hd95_mm,d129,4.2226930720409275,1
sub-verse011,2,common_matched_hd95_mm,d175,7.2785291354728825,1
sub-verse011,2,complete_label_set_indicator,d129,0.0,1
sub-verse011,2,complete_label_set_indicator,d175,0.0,1
sub-verse011,2,foreground_dice,d129,0.90809,1
sub-verse011,2,foreground_dice,d175,0.901388,1
sub-verse011,2,identification_rate,d129,0.916667,1
sub-verse011,2,identification_rate,d175,0.75,1
sub-verse011,2,label_set_jaccard,d129,0.75,1
sub-verse011,2,label_set_jaccard,d175,0.75,1
sub-verse011,2,macro_label_dice,d129,0.8881643026435398,1
sub-verse011,2,macro_label_dice,d175,0.7091668365222539,1
sub-verse011,2,missing_label_count,d129,0.0,1
sub-verse011,2,missing_label_count,d175,0.0,1
sub-verse011,3,common_matched_assd_mm,d129,2.2908992872800904,1
sub-verse011,3,common_matched_assd_mm,d175,2.084284870616369,1
sub-verse011,3,common_matched_hd95_mm,d129,8.50822015103691,1
sub-verse011,3,common_matched_hd95_mm,d175,7.924523246913632,1
sub-verse011,3,complete_label_set_indicator,d129,0.0,1
sub-verse011,3,complete_label_set_indicator,d175,0.0,1
sub-verse011,3,foreground_dice,d129,0.908615,1
sub-verse011,3,foreground_dice,d175,0.903846,1
sub-verse011,3,identification_rate,d129,0.666667,1
sub-verse011,3,identification_rate,d175,0.75,1
sub-verse011,3,label_set_jaccard,d129,0.8,1
sub-verse011,3,label_set_jaccard,d175,0.8,1
sub-verse011,3,macro_label_dice,d129,0.6919243594419031,1
sub-verse011,3,macro_label_dice,d175,0.7198654888177208,1
sub-verse011,3,missing_label_count,d129,0.0,1
sub-verse011,3,missing_label_count,d175,0.0,1
sub-verse011,4,common_matched_assd_mm,d129,0.9511489159930314,1
sub-verse011,4,common_matched_assd_mm,d175,1.011754502669702,1
sub-verse011,4,common_matched_hd95_mm,d129,4.71288630782188,1
sub-verse011,4,common_matched_hd95_mm,d175,5.043008403265399,1
sub-verse011,4,complete_label_set_indicator,d129,0.0,1
sub-verse011,4,complete_label_set_indicator,d175,0.0,1
sub-verse011,4,foreground_dice,d129,0.909982,1
sub-verse011,4,foreground_dice,d175,0.907587,1
sub-verse011,4,identification_rate,d129,0.916667,1
sub-verse011,4,identification_rate,d175,0.916667,1
sub-verse011,4,label_set_jaccard,d129,0.8,1
sub-verse011,4,label_set_jaccard,d175,0.75,1
sub-verse011,4,macro_label_dice,d129,0.8523242701240656,1
sub-verse011,4,macro_label_dice,d175,0.8391889057385428,1
sub-verse011,4,missing_label_count,d129,0.0,1
sub-verse011,4,missing_label_count,d175,0.0,1
sub-verse013,0,common_matched_assd_mm,d129,0.824974466974979,1
sub-verse013,0,common_matched_assd_mm,d175,1.4657922647074761,1
sub-verse013,0,common_matched_hd95_mm,d129,2.888046718678862,1
sub-verse013,0,common_matched_hd95_mm,d175,10.247522690692191,1
sub-verse013,0,complete_label_set_indicator,d129,0.0,1
sub-verse013,0,complete_label_set_indicator,d175,0.0,1
sub-verse013,0,foreground_dice,d129,0.939602,1
sub-verse013,0,foreground_dice,d175,0.934772,1
sub-verse013,0,identification_rate,d129,1.0,1
sub-verse013,0,identification_rate,d175,0.9375,1
sub-verse013,0,label_set_jaccard,d129,0.8888888888888888,1
sub-verse013,0,label_set_jaccard,d175,0.8421052631578947,1
sub-verse013,0,macro_label_dice,d129,0.9230699146127037,1
sub-verse013,0,macro_label_dice,d175,0.9388631785540663,1
sub-verse013,0,missing_label_count,d129,0.0,1
sub-verse013,0,missing_label_count,d175,0.0,1
sub-verse013,1,common_matched_assd_mm,d129,0.38638023188981274,1
sub-verse013,1,common_matched_assd_mm,d175,1.5060772394585697,1
sub-verse013,1,common_matched_hd95_mm,d129,2.0054044084410307,1
sub-verse013,1,common_matched_hd95_mm,d175,10.344306248789902,1
sub-verse013,1,complete_label_set_indicator,d129,0.0,1
sub-verse013,1,complete_label_set_indicator,d175,0.0,1
sub-verse013,1,foreground_dice,d129,0.953842,1
sub-verse013,1,foreground_dice,d175,0.947299,1
sub-verse013,1,identification_rate,d129,1.0,1
sub-verse013,1,identification_rate,d175,1.0,1
sub-verse013,1,label_set_jaccard,d129,0.7272727272727273,1
sub-verse013,1,label_set_jaccard,d175,0.8,1
sub-verse013,1,macro_label_dice,d129,0.9426560158129007,1
sub-verse013,1,macro_label_dice,d175,0.8658025206884522,1
sub-verse013,1,missing_label_count,d129,0.0,1
sub-verse013,1,missing_label_count,d175,0.0,1
sub-verse013,2,common_matched_assd_mm,d129,1.6621557897361892,1
sub-verse013,2,common_matched_assd_mm,d175,2.013570588709291,1
sub-verse013,2,common_matched_hd95_mm,d129,7.472207078503242,1
sub-verse013,2,common_matched_hd95_mm,d175,6.872708215328746,1
sub-verse013,2,complete_label_set_indicator,d129,0.0,1
sub-verse013,2,complete_label_set_indicator,d175,0.0,1
sub-verse013,2,foreground_dice,d129,0.953781,1
sub-verse013,2,foreground_dice,d175,0.948758,1
sub-verse013,2,identification_rate,d129,0.875,1
sub-verse013,2,identification_rate,d175,0.75,1
sub-verse013,2,label_set_jaccard,d129,0.8,1
sub-verse013,2,label_set_jaccard,d175,0.8888888888888888,1
sub-verse013,2,macro_label_dice,d129,0.7900674021268873,1
sub-verse013,2,macro_label_dice,d175,0.7776704399274625,1
sub-verse013,2,missing_label_count,d129,0.0,1
sub-verse013,2,missing_label_count,d175,0.0,1
sub-verse013,3,common_matched_assd_mm,d129,1.0579003703178396,1
sub-verse013,3,common_matched_assd_mm,d175,2.1378575258247823,1
sub-verse013,3,common_matched_hd95_mm,d129,3.8318342815593103,1
sub-verse013,3,common_matched_hd95_mm,d175,6.204621484967816,1
sub-verse013,3,complete_label_set_indicator,d129,0.0,1
sub-verse013,3,complete_label_set_indicator,d175,0.0,1
sub-verse013,3,foreground_dice,d129,0.940387,1
sub-verse013,3,foreground_dice,d175,0.935142,1
sub-verse013,3,identification_rate,d129,1.0,1
sub-verse013,3,identification_rate,d175,0.875,1
sub-verse013,3,label_set_jaccard,d129,0.8,1
sub-verse013,3,label_set_jaccard,d175,0.8421052631578947,1
sub-verse013,3,macro_label_dice,d129,0.9112650391997327,1
sub-verse013,3,macro_label_dice,d175,0.8617918618316797,1
sub-verse013,3,missing_label_count,d129,0.0,1
sub-verse013,3,missing_label_count,d175,0.0,1
sub-verse013,4,common_matched_assd_mm,d129,1.156615036301016,1
sub-verse013,4,common_matched_assd_mm,d175,1.1895194636013848,1
sub-verse013,4,common_matched_hd95_mm,d129,5.311810539664728,1
sub-verse013,4,common_matched_hd95_mm,d175,5.750467977065812,1
sub-verse013,4,complete_label_set_indicator,d129,0.0,1
sub-verse013,4,complete_label_set_indicator,d175,0.0,1
sub-verse013,4,foreground_dice,d129,0.942179,1
sub-verse013,4,foreground_dice,d175,0.939697,1
sub-verse013,4,identification_rate,d129,0.875,1
sub-verse013,4,identification_rate,d175,1.0,1
sub-verse013,4,label_set_jaccard,d129,0.8421052631578947,1
sub-verse013,4,label_set_jaccard,d175,0.8888888888888888,1
sub-verse013,4,macro_label_dice,d129,0.8560950800222594,1
sub-verse013,4,macro_label_dice,d175,0.8741571318148755,1
sub-verse013,4,missing_label_count,d129,0.0,1
sub-verse013,4,missing_label_count,d175,0.0,1
sub-verse016,0,common_matched_assd_mm,d129,0.3545744426645182,1
sub-verse016,0,common_matched_assd_mm,d175,0.30909322780878196,1
sub-verse016,0,common_matched_hd95_mm,d129,2.2486425112030504,1
sub-verse016,0,common_matched_hd95_mm,d175,2.561849879497412,1
sub-verse016,0,complete_label_set_indicator,d129,0.0,1
sub-verse016,0,complete_label_set_indicator,d175,0.0,1
sub-verse016,0,foreground_dice,d129,0.965255,1
sub-verse016,0,foreground_dice,d175,0.964109,1
sub-verse016,0,identification_rate,d129,1.0,1
sub-verse016,0,identification_rate,d175,1.0,1
sub-verse016,0,label_set_jaccard,d129,0.9444444444444444,1
sub-verse016,0,label_set_jaccard,d175,0.9444444444444444,1
sub-verse016,0,macro_label_dice,d129,0.9415727059440918,1
sub-verse016,0,macro_label_dice,d175,0.9451993999472248,1
sub-verse016,0,missing_label_count,d129,0.0,1
sub-verse016,0,missing_label_count,d175,0.0,1
sub-verse016,1,common_matched_assd_mm,d129,0.574805557041876,1
sub-verse016,1,common_matched_assd_mm,d175,0.6749064811656623,1
