background,delta,simulation,mean_estimate,ci_low,ci_high,detected,subjects,folds,bootstrap_repetitions,seed
D175_minus_D129_foreground_dice,0.001,144,-0.0004208864864864886,-0.0034658715540540536,0.0022651360810810725,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,145,0.00021275405405406217,-0.002875859594594583,0.002963508445945947,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,146,2.169729729730598e-05,-0.0037825023648648624,0.002998131756756772,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,147,0.00246174324324324,-4.153689189189365e-05,0.005339275472972961,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,148,-0.00011200540540540767,-0.0026196916891891896,0.0019808152027026974,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,149,0.0007638729729729748,-0.002236363648648643,0.0034366793918919,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,150,0.0008637297297297289,-0.0021942179054054074,0.004044770135135122,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,151,0.0020731810810810858,-0.0010054529054054032,0.005235052702702701,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,152,0.001964805405405405,-0.0005922957432432437,0.004658903986486491,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,153,8.198918918917757e-05,-0.0037900864189189232,0.003646260472972957,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,154,-3.4216216216183298e-06,-0.0036274112162162056,0.003978036351351353,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,155,0.0004039891891891809,-0.00201870918918918,0.0028113439864864836,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,156,0.0017818945945945908,0.00024277898648649335,0.0036799336486486455,True,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,157,0.0009542378378378404,-0.001733916621621626,0.0033490820270270162,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,158,0.001464754054054064,-0.0022014001351351093,0.005458836013513522,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,159,0.0025227513513513488,0.0010823954729729831,0.004424115878378369,True,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,160,-0.0017794243243243212,-0.006414252635135125,0.0021327883783783825,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,161,0.001601567567567569,-0.00011836243243243498,0.0036209921621621587,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,162,0.00022240810810811402,-0.0028961483783783637,0.0029622266216216254,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,163,0.0017319810810810811,-0.00015626621621621478,0.0034854248648648685,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,164,0.003046970270270267,0.00040138027027026625,0.005929562162162144,True,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,165,0.001407321621621624,-0.0006646610135135213,0.0036006570270270236,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,166,-0.001432748648648643,-0.005640221013513502,0.002114406959459463,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,167,-0.0015185378378378357,-0.004673927635135128,0.0010824586486486488,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,168,0.000494581081081078,-0.0018996652702702624,0.0026642501351351183,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,169,-0.0003144729729729722,-0.0032590588513513475,0.00247642405405405,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,170,0.0019581324324324297,5.4099662162169766e-05,0.003926671689189175,True,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,171,-0.0004057324324324242,-0.0035723143243243044,0.0022353408108108153,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,172,0.000837597297297291,-0.0019465528378378447,0.00353188648648647,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,173,0.002284197297297294,-0.0004553448648648524,0.005225375743243233,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,174,0.002856143243243244,-0.00013197283783784134,0.0059217335135135,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,175,0.002195513513513506,-0.0004550739864864885,0.004543254797297284,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,176,0.0015952567567567562,0.00018144547297296943,0.003269234999999997,True,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,177,0.0012898891891891951,-0.0008259616216216142,0.0030518270270270325,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,178,0.0025138594594594655,0.000819797229729743,0.00455514486486487,True,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,179,0.001679502702702707,-0.0006824064864864881,0.004208000405405403,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,180,0.00013661351351350814,-0.0036795275000000007,0.003624299527027025,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,181,-0.000810172972972976,-0.004527679324324334,0.002081257837837833,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,182,0.0019927891891891774,-0.0006939932432432559,0.004610767297297269,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,183,0.0028019702702702693,0.0013132806756756875,0.0043187691891891904,True,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,184,0.0005775378378378393,-0.0012690562162162155,0.0022670771621621593,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,185,0.0020294972972972987,0.0005077512162162289,0.003587527905405409,True,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,186,0.0007651972972972969,-0.0018440260810810838,0.003178843581081074,False,37,5,2000,20260716
