background,delta,simulations,mean_estimate,median_ci_low,median_ci_high,detection_rate,subjects,folds,bootstrap_repetitions,seed
D175_minus_D129_foreground_dice,0.0,300,-1.1565450450450217e-05,-0.0026574587162162154,0.002401106385135148,0.06333333333333334,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,300,0.0010489371081081082,-0.0014917086486486402,0.0034984752027027027,0.17666666666666667,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.003,300,0.0030038184504504514,0.00040753236486487166,0.005373687533783778,0.6333333333333333,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.005,300,0.005097243072072072,0.0025779005405405413,0.007491216790540545,0.91,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.01,300,0.009955982972972973,0.007394726081081075,0.012269517939189184,1.0,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.02,300,0.019954596540540537,0.017428679222972976,0.022381262331081085,1.0,37,5,2000,20260716
