comparison,metric,cases,subjects,estimand,mean_difference,bootstrap_ci_low,bootstrap_ci_high,permutation_p,wilcoxon_p_secondary,positive,negative,zero,bootstrap_repetitions,permutation_repetitions,seed,manuscript_wording,d134_eval_sha256,d129_eval_sha256,p_holm,q_fdr_bh,holm_significant,fdr_significant,multiplicity_basis,multiplicity_family_size
D134_historical_minus_D129_baseline,foreground_dice,40,37,subject_equal_paired_mean_difference,-0.00014366216216214793,-0.0034989662162162073,0.0034354354729729925,0.9389190610809389,0.6437751749326708,15,22,0,100000,1000000,20261415,historical Dice point estimate,c1d2e72879c99fd292beaba93e2bae9f1378a468c08fb3781487e05ce0d4148a,827a15b88742ca00c62695640c74e490f1d3c73a7a1b0990855460f1ba29b5e5,0.9389190610809389,0.9389190610809389,False,False,paired_sign_flip_permutation_p,2
D134_historical_minus_D129_baseline,identification_rate,40,37,subject_equal_paired_mean_difference,0.016492013513513516,-0.015003972972972974,0.05131579729729731,0.3591266408733591,0.2930292591867747,5,3,29,100000,1000000,20261416,historical positive identification-rate point estimate,c1d2e72879c99fd292beaba93e2bae9f1378a468c08fb3781487e05ce0d4148a,827a15b88742ca00c62695640c74e490f1d3c73a7a1b0990855460f1ba29b5e5,0.7182532817467182,0.7182532817467182,False,False,paired_sign_flip_permutation_p,2
